transaction_number,stock_name,order_type,quantity,timestamp
0,GameStart,sell,1,1746655974.5522282
0,GameStart,sell,1,1746655974.559134
0,GameStart,sell,1,1746655974.5651252
0,GameStart,sell,1,1746655974.571871
0,GameStart,sell,1,1746655974.577287
0,RottenFishCo,sell,1,1746656102.942163
0,RottenFishCo,sell,1,1746656102.948906
0,RottenFishCo,sell,1,1746656102.9535968
0,RottenFishCo,sell,1,1746656102.9589472
0,RottenFishCo,sell,1,1746656102.963852
1,BoarCo,sell,1,1746656728.711607
1,BoarCo,sell,1,1746656729.222347
1,BoarCo,sell,1,1746656729.7362611
1,BoarCo,sell,1,1746656730.2571352
1,BoarCo,sell,1,1746656730.777144
2,MenhirCo,sell,1,1746657755.10414
2,MenhirCo,sell,1,1746657755.6189282
2,MenhirCo,sell,1,1746657756.132131
2,MenhirCo,sell,1,1746657756.652323
2,MenhirCo,sell,1,1746657757.171345
3,GameStart,sell,1,1746658109.6362529
3,GameStart,sell,1,1746658110.150186
3,GameStart,sell,1,1746658110.662265
3,GameStart,sell,1,1746658111.1835551
3,GameStart,sell,1,1746658111.69956
4,RottenFishCo,sell,1,1746672073.89762
4,RottenFishCo,sell,1,1746672074.405094
4,RottenFishCo,sell,1,1746672074.9166908
4,RottenFishCo,sell,1,1746672075.429714
4,RottenFishCo,sell,1,1746672075.949701
