transaction_number,stock_name,order_type,quantity,timestamp
0,GameStart,sell,1,1746655974.5514271
0,GameStart,sell,1,1746655974.558764
0,GameStart,sell,1,1746655974.5646238
0,GameStart,sell,1,1746655974.571465
0,GameStart,sell,1,1746655974.576959
0,RottenFishCo,sell,1,1746656102.94149
0,RottenFishCo,sell,1,1746656102.948427
0,RottenFishCo,sell,1,1746656102.953304
0,RottenFishCo,sell,1,1746656102.958621
0,RottenFishCo,sell,1,1746656102.9634979
1,BoarCo,sell,1,1746656728.710537
1,BoarCo,sell,1,1746656729.221859
1,BoarCo,sell,1,1746656729.735574
1,BoarCo,sell,1,1746656730.256455
1,BoarCo,sell,1,1746656730.776497
2,MenhirCo,sell,1,1746657755.103952
2,MenhirCo,sell,1,1746657755.6186209
2,MenhirCo,sell,1,1746657756.13198
2,MenhirCo,sell,1,1746657756.652002
2,MenhirCo,sell,1,1746657757.1711402
3,GameStart,sell,1,1746658109.635823
3,GameStart,sell,1,1746658110.149909
3,GameStart,sell,1,1746658110.662006
3,GameStart,sell,1,1746658111.183371
3,GameStart,sell,1,1746658111.699278
