transaction_number,stock_name,order_type,quantity,timestamp
9,MenhirCo,sell,1,1746367902.945527
10,MenhirCo,sell,1,1746367929.1288488
11,MenhirCo,sell,1,1746367930.142211
12,MenhirCo,sell,1,1746367931.1552892
13,MenhirCo,sell,1,1746367932.168231
14,GameStart,sell,1,1746368282.674426
15,GameStart,sell,1,1746368283.684344
16,GameStart,sell,1,1746368284.699028
17,GameStart,sell,1,1746368285.7198458
18,MenhirCo,sell,1,1746368988.1429188
19,RottenFishCo,sell,1,1746369083.172517
20,RottenFishCo,sell,1,1746369084.189184
21,RottenFishCo,sell,1,1746369085.209665
22,RottenFishCo,sell,1,1746369086.228975
23,RottenFishCo,sell,1,1746369087.242872
24,RottenFishCo,sell,1,1746369088.26387
25,Reneium,sell,1,1746650219.9685209
27,DogmatixCo,sell,1,1746650219.969106
28,RottenFishCo,sell,1,1746650219.969864
29,BoarCo,sell,1,1746650219.970054
30,DogmatixCo,sell,1,1746650219.970923
32,GameStart,sell,1,1746650219.9710321
33,PiloteCo,sell,1,1746650219.971145
34,Goscinnyium,sell,1,1746650219.971257
35,GameStart,sell,1,1746650219.971332
36,RottenFishCo,sell,1,1746650219.97205
37,Goscinnyium,sell,1,1746650219.973572
38,MenhirCo,sell,1,1746650219.974281
40,MenhirCo,sell,1,1746650219.975082
41,BoarCo,sell,1,1746650219.9788969
42,Goscinnyium,sell,1,1746650219.979993
43,Goscinnyium,sell,1,1746650219.9810581
44,BoarCo,sell,1,1746650219.986788
45,Goscinnyium,sell,1,1746650219.988182
46,PiloteCo,sell,1,1746650219.9937322
47,MenhirCo,sell,1,1746650219.995689
48,BoarCo,sell,1,1746650219.995992
49,RottenFishCo,sell,1,1746650219.996456
50,DogmatixCo,sell,1,1746650220.144141
51,Goscinnyium,sell,1,1746650220.151486
52,Goscinnyium,sell,1,1746650220.153143
53,CaesarTech,sell,1,1746650220.154186
54,LutetiaTech,sell,1,1746650220.1550121
55,MenhirCo,sell,1,1746650220.158349
56,LutetiaTech,sell,1,1746650220.161299
58,CaesarTech,sell,1,1746650220.162765
59,Goscinnyium,sell,1,1746650220.1640131
60,GameStart,sell,1,1746650220.16695
61,RottenFishCo,sell,1,1746650220.168684
62,CaesarTech,sell,1,1746650220.1692889
63,CaesarTech,sell,1,1746650220.169881
64,DogmatixCo,sell,1,1746650220.1702578
65,Goscinnyium,sell,1,1746650220.173982
66,CaesarTech,sell,1,1746650220.17486
67,CaesarTech,sell,1,1746650220.175811
68,MenhirCo,sell,1,1746650220.1766431
69,MenhirCo,sell,1,1746650220.176843
70,LutetiaTech,sell,1,1746650220.181314
71,CaesarTech,sell,1,1746650220.1821709
72,Goscinnyium,sell,1,1746650220.183671
73,Reneium,sell,1,1746650220.184942
74,Goscinnyium,sell,1,1746650220.189213
75,LutetiaTech,sell,1,1746650220.190142
77,BoarCo,sell,1,1746650220.195005
78,LutetiaTech,sell,1,1746650220.2087839
79,LutetiaTech,sell,1,1746650220.387018
80,LutetiaTech,sell,1,1746650220.387342
82,DogmatixCo,sell,1,1746650220.393814
83,RottenFishCo,sell,1,1746650220.3948102
84,LutetiaTech,sell,1,1746650220.395154
85,PiloteCo,sell,1,1746650220.3961668
86,GameStart,sell,1,1746650220.4027572
87,LutetiaTech,sell,1,1746650220.403923
88,Goscinnyium,sell,1,1746650220.404608
89,PiloteCo,sell,1,1746650220.406304
90,RottenFishCo,sell,1,1746650220.4091032
91,GameStart,sell,1,1746650220.425344
92,LutetiaTech,sell,1,1746650220.425981
93,PiloteCo,sell,1,1746650220.4282691
95,GameStart,sell,1,1746650220.428923
96,LutetiaTech,sell,1,1746650220.436686
97,MenhirCo,sell,1,1746650220.438569
98,CaesarTech,sell,1,1746650220.438821
99,GameStart,sell,1,1746650220.4396532
100,Goscinnyium,sell,1,1746650220.440011
101,LutetiaTech,sell,1,1746650220.4582841
103,CaesarTech,sell,1,1746650220.4589481
104,Goscinnyium,sell,1,1746650220.482042
105,BoarCo,sell,1,1746650220.503208
106,CaesarTech,sell,1,1746650220.5047
107,Goscinnyium,sell,1,1746650220.505894
108,BoarCo,sell,1,1746650220.521528
109,CaesarTech,sell,1,1746650220.523055
110,Goscinnyium,sell,1,1746650220.523989
111,DogmatixCo,sell,1,1746650220.529776
112,CaesarTech,sell,1,1746650220.530538
113,LutetiaTech,sell,1,1746650220.532895
114,BoarCo,sell,1,1746650220.538692
115,MenhirCo,sell,1,1746650220.539111
116,LutetiaTech,sell,1,1746650220.540087
117,LutetiaTech,sell,1,1746650220.545732
118,GameStart,sell,1,1746650220.546632
119,GameStart,sell,1,1746650220.5516028
120,GameStart,sell,1,1746650220.5562088
121,GameStart,sell,1,1746650220.5607722
122,PiloteCo,sell,1,1746650220.711424
123,RottenFishCo,sell,1,1746650220.7132218
124,PiloteCo,sell,1,1746650220.7177112
125,PiloteCo,sell,1,1746650220.721301
126,CaesarTech,sell,1,1746650220.722732
127,CaesarTech,sell,1,1746650220.725604
128,Reneium,sell,1,1746650220.7308302
129,DogmatixCo,sell,1,1746650220.735314
130,CaesarTech,sell,1,1746650220.73782
131,CaesarTech,sell,1,1746650220.740472
132,Reneium,sell,1,1746650220.7444701
133,PiloteCo,sell,1,1746650220.74644
134,PiloteCo,sell,1,1746650220.746603
135,BoarCo,sell,1,1746650220.747992
136,CaesarTech,sell,1,1746650220.7495291
137,GameStart,sell,1,1746650220.7542248
138,PiloteCo,sell,1,1746650220.754546
139,BoarCo,sell,1,1746650220.755862
140,MenhirCo,sell,1,1746650220.7563992
141,Goscinnyium,sell,1,1746650220.7573628
142,PiloteCo,sell,1,1746650220.761528
143,BoarCo,sell,1,1746650220.762667
144,BoarCo,sell,1,1746650220.763322
145,Goscinnyium,sell,1,1746650220.76695
146,DogmatixCo,sell,1,1746650220.767404
147,PiloteCo,sell,1,1746650220.7689579
148,PiloteCo,sell,1,1746650220.769387
149,BoarCo,sell,1,1746650220.7709281
150,GameStart,sell,1,1746650220.7742999
151,DogmatixCo,sell,1,1746650220.774755
152,RottenFishCo,sell,1,1746650220.774985
153,BoarCo,sell,1,1746650220.775999
154,CaesarTech,sell,1,1746650220.777497
155,GameStart,sell,1,1746650220.780117
156,RottenFishCo,sell,1,1746650220.782615
157,CaesarTech,sell,1,1746650220.783974
158,GameStart,sell,1,1746650220.787373
