transaction_number,stock_name,order_type,quantity,timestamp
0,GameStart,sell,1,1746367290.2696278
1,RottenFishCo,sell,1,1746367309.132051
2,RottenFishCo,sell,1,1746367310.146982
3,RottenFishCo,sell,1,1746367314.8970711
4,RottenFishCo,sell,1,1746367315.915332
5,RottenFishCo,sell,1,1746367316.9315672
6,RottenFishCo,sell,1,1746367317.9518452
7,GameStart,sell,1,1746367398.348404
8,GameStart,sell,1,1746367399.359838
9,MenhirCo,sell,1,1746367902.943282
10,MenhirCo,sell,1,1746368251.5979671
11,MenhirCo,sell,1,1746368981.016428
12,MenhirCo,sell,1,1746368982.031318
13,MenhirCo,sell,1,1746368983.0507069
14,MenhirCo,sell,1,1746368984.068898
15,MenhirCo,sell,1,1746368985.0890088
16,MenhirCo,sell,1,1746368986.107681
17,MenhirCo,sell,1,1746368987.121186
18,MenhirCo,sell,1,1746368988.140248
19,RottenFishCo,sell,1,1746369105.3735511
20,RottenFishCo,sell,1,1746369105.373633
21,RottenFishCo,sell,1,1746369105.373675
22,RottenFishCo,sell,1,1746369105.3737128
23,RottenFishCo,sell,1,1746369105.373751
24,RottenFishCo,sell,1,1746369105.37379
25,Reneium,sell,1,1746650219.937121
26,BoarCo,sell,1,1746650219.937696
27,DogmatixCo,sell,1,1746650219.937768
28,RottenFishCo,sell,1,1746650219.937869
29,BoarCo,sell,1,1746650219.937964
30,DogmatixCo,sell,1,1746650219.960135
31,Reneium,sell,1,1746650219.960565
32,GameStart,sell,1,1746650219.960861
33,PiloteCo,sell,1,1746650219.961271
34,Goscinnyium,sell,1,1746650219.961903
35,GameStart,sell,1,1746650219.966763
36,RottenFishCo,sell,1,1746650219.970911
37,Goscinnyium,sell,1,1746650219.972785
38,MenhirCo,sell,1,1746650219.973322
39,LutetiaTech,sell,1,1746650219.9737642
40,MenhirCo,sell,1,1746650219.974196
41,BoarCo,sell,1,1746650219.978048
42,Goscinnyium,sell,1,1746650219.979295
43,Goscinnyium,sell,1,1746650219.979617
44,BoarCo,sell,1,1746650219.980059
45,Goscinnyium,sell,1,1746650219.981844
46,PiloteCo,sell,1,1746650219.992641
47,MenhirCo,sell,1,1746650219.994635
48,BoarCo,sell,1,1746650219.994932
49,RottenFishCo,sell,1,1746650219.995358
50,DogmatixCo,sell,1,1746650220.142982
51,Goscinnyium,sell,1,1746650220.15008
52,Goscinnyium,sell,1,1746650220.151839
53,CaesarTech,sell,1,1746650220.1528041
54,LutetiaTech,sell,1,1746650220.153376
55,MenhirCo,sell,1,1746650220.157137
56,LutetiaTech,sell,1,1746650220.160358
57,CaesarTech,sell,1,1746650220.161628
58,CaesarTech,sell,1,1746650220.161833
59,Goscinnyium,sell,1,1746650220.163313
60,GameStart,sell,1,1746650220.16624
61,RottenFishCo,sell,1,1746650220.1679602
62,CaesarTech,sell,1,1746650220.1684978
63,CaesarTech,sell,1,1746650220.1688929
64,DogmatixCo,sell,1,1746650220.169415
65,Goscinnyium,sell,1,1746650220.172925
66,CaesarTech,sell,1,1746650220.173847
67,CaesarTech,sell,1,1746650220.1751528
68,MenhirCo,sell,1,1746650220.1757739
69,MenhirCo,sell,1,1746650220.17615
70,LutetiaTech,sell,1,1746650220.180168
71,CaesarTech,sell,1,1746650220.180367
72,Goscinnyium,sell,1,1746650220.182554
73,Reneium,sell,1,1746650220.18403
74,Goscinnyium,sell,1,1746650220.187707
75,LutetiaTech,sell,1,1746650220.1890209
76,LutetiaTech,sell,1,1746650220.1924129
77,BoarCo,sell,1,1746650220.192835
78,LutetiaTech,sell,1,1746650220.207833
79,LutetiaTech,sell,1,1746650220.385887
80,LutetiaTech,sell,1,1746650220.386299
81,PiloteCo,sell,1,1746650220.391983
82,DogmatixCo,sell,1,1746650220.392411
83,RottenFishCo,sell,1,1746650220.392822
84,LutetiaTech,sell,1,1746650220.393742
85,PiloteCo,sell,1,1746650220.395303
86,GameStart,sell,1,1746650220.401788
87,LutetiaTech,sell,1,1746650220.40289
88,Goscinnyium,sell,1,1746650220.403187
89,PiloteCo,sell,1,1746650220.403739
90,RottenFishCo,sell,1,1746650220.405013
91,GameStart,sell,1,1746650220.424271
92,LutetiaTech,sell,1,1746650220.424751
93,PiloteCo,sell,1,1746650220.4254808
94,PiloteCo,sell,1,1746650220.4263659
95,GameStart,sell,1,1746650220.427587
96,LutetiaTech,sell,1,1746650220.43574
97,MenhirCo,sell,1,1746650220.43649
98,CaesarTech,sell,1,1746650220.436953
99,GameStart,sell,1,1746650220.437827
100,Goscinnyium,sell,1,1746650220.439025
101,LutetiaTech,sell,1,1746650220.443586
102,PiloteCo,sell,1,1746650220.457067
103,CaesarTech,sell,1,1746650220.457599
104,Goscinnyium,sell,1,1746650220.481267
105,BoarCo,sell,1,1746650220.502275
106,CaesarTech,sell,1,1746650220.5035179
107,Goscinnyium,sell,1,1746650220.504555
108,BoarCo,sell,1,1746650220.519659
109,CaesarTech,sell,1,1746650220.521942
110,Goscinnyium,sell,1,1746650220.522878
111,DogmatixCo,sell,1,1746650220.528224
112,CaesarTech,sell,1,1746650220.528745
113,LutetiaTech,sell,1,1746650220.5318038
114,BoarCo,sell,1,1746650220.5374742
115,MenhirCo,sell,1,1746650220.537945
116,LutetiaTech,sell,1,1746650220.539388
117,LutetiaTech,sell,1,1746650220.5444322
118,GameStart,sell,1,1746650220.54589
119,GameStart,sell,1,1746650220.550806
120,GameStart,sell,1,1746650220.555446
121,GameStart,sell,1,1746650220.559975
122,PiloteCo,sell,1,1746650220.709919
123,RottenFishCo,sell,1,1746650220.712209
124,PiloteCo,sell,1,1746650220.715673
125,PiloteCo,sell,1,1746650220.719396
126,CaesarTech,sell,1,1746650220.72166
127,CaesarTech,sell,1,1746650220.7247071
128,Reneium,sell,1,1746650220.728608
129,DogmatixCo,sell,1,1746650220.7317
130,CaesarTech,sell,1,1746650220.732468
131,CaesarTech,sell,1,1746650220.7393868
132,Reneium,sell,1,1746650220.7429519
133,PiloteCo,sell,1,1746650220.745155
134,PiloteCo,sell,1,1746650220.74562
135,BoarCo,sell,1,1746650220.7464042
136,CaesarTech,sell,1,1746650220.7480261
137,GameStart,sell,1,1746650220.753119
138,PiloteCo,sell,1,1746650220.7534678
139,BoarCo,sell,1,1746650220.755195
140,MenhirCo,sell,1,1746650220.755831
141,Goscinnyium,sell,1,1746650220.756365
142,PiloteCo,sell,1,1746650220.760791
143,BoarCo,sell,1,1746650220.761697
144,BoarCo,sell,1,1746650220.7622201
145,Goscinnyium,sell,1,1746650220.76531
146,DogmatixCo,sell,1,1746650220.7660758
147,PiloteCo,sell,1,1746650220.7679281
148,PiloteCo,sell,1,1746650220.7682922
149,BoarCo,sell,1,1746650220.769818
150,GameStart,sell,1,1746650220.773176
151,DogmatixCo,sell,1,1746650220.773382
152,RottenFishCo,sell,1,1746650220.773886
153,BoarCo,sell,1,1746650220.775153
154,CaesarTech,sell,1,1746650220.776549
155,GameStart,sell,1,1746650220.77931
156,RottenFishCo,sell,1,1746650220.781559
157,CaesarTech,sell,1,1746650220.782915
158,GameStart,sell,1,1746650220.786284
159,RottenFishCo,sell,1,1746650220.790337
160,MenhirCo,sell,1,1746650220.790833
161,DogmatixCo,sell,1,1746650220.794036
162,RottenFishCo,sell,1,1746650220.7974982
163,MenhirCo,sell,1,1746650220.797759
164,DogmatixCo,sell,1,1746650220.802026
165,MenhirCo,sell,1,1746650220.8060422
166,RottenFishCo,sell,1,1746650220.8066628
167,DogmatixCo,sell,1,1746650220.809155
168,RottenFishCo,sell,1,1746650220.8141189
169,RottenFishCo,sell,1,1746650220.814684
170,DogmatixCo,sell,1,1746650220.8158
171,RottenFishCo,sell,1,1746650220.8216362
172,MenhirCo,sell,1,1746650220.823467
173,DogmatixCo,sell,1,1746650220.823812
174,RottenFishCo,sell,1,1746650220.8275661
175,MenhirCo,sell,1,1746650220.829936
176,DogmatixCo,sell,1,1746650220.833631
177,MenhirCo,sell,1,1746650220.835367
178,DogmatixCo,sell,1,1746650220.8405461
179,DogmatixCo,sell,1,1746650220.846037
180,Goscinnyium,sell,1,1746650221.030323
181,BoarCo,sell,1,1746650221.0307379
182,MenhirCo,sell,1,1746650221.0400891
183,Goscinnyium,sell,1,1746650221.0405571
184,BoarCo,sell,1,1746650221.0415192
185,DogmatixCo,sell,1,1746650221.04478
186,LutetiaTech,sell,1,1746650221.045293
187,MenhirCo,sell,1,1746650221.04728
188,LutetiaTech,sell,1,1746650221.0486348
189,RottenFishCo,sell,1,1746650221.049365
190,LutetiaTech,sell,1,1746650221.053835
191,PiloteCo,sell,1,1746650221.0542872
192,PiloteCo,sell,1,1746650221.054983
193,LutetiaTech,sell,1,1746650221.0558121
194,RottenFishCo,sell,1,1746650221.057659
195,LutetiaTech,sell,1,1746650221.061934
196,LutetiaTech,sell,1,1746650221.063264
197,CaesarTech,sell,1,1746650221.0644639
198,PiloteCo,sell,1,1746650221.0647738
199,RottenFishCo,sell,1,1746650221.066946
200,LutetiaTech,sell,1,1746650221.0821571
201,LutetiaTech,sell,1,1746650221.0838652
202,RottenFishCo,sell,1,1746650221.0863092
203,CaesarTech,sell,1,1746650221.086783
204,RottenFishCo,sell,1,1746650221.087305
205,LutetiaTech,sell,1,1746650221.0929961
206,LutetiaTech,sell,1,1746650221.0935838
207,RottenFishCo,sell,1,1746650221.0958898
208,RottenFishCo,sell,1,1746650221.096451
209,CaesarTech,sell,1,1746650221.09674
210,LutetiaTech,sell,1,1746650221.126539
211,LutetiaTech,sell,1,1746650221.127237
212,RottenFishCo,sell,1,1746650221.171365
213,BoarCo,sell,1,1746650221.180757
214,CaesarTech,sell,1,1746650221.182039
215,LutetiaTech,sell,1,1746650221.187575
216,LutetiaTech,sell,1,1746650221.188236
217,RottenFishCo,sell,1,1746650221.188479
218,BoarCo,sell,1,1746650221.189451
219,CaesarTech,sell,1,1746650221.190423
220,LutetiaTech,sell,1,1746650221.206808
221,LutetiaTech,sell,1,1746650221.207084
222,RottenFishCo,sell,1,1746650221.2078521
223,CaesarTech,sell,1,1746650221.208498
224,BoarCo,sell,1,1746650221.21043
225,LutetiaTech,sell,1,1746650221.213503
226,LutetiaTech,sell,1,1746650221.213993
227,LutetiaTech,sell,1,1746650221.214711
228,Goscinnyium,sell,1,1746650221.2160351
229,BoarCo,sell,1,1746650221.217769
230,LutetiaTech,sell,1,1746650221.2212229
231,DogmatixCo,sell,1,1746650221.2217228
232,LutetiaTech,sell,1,1746650221.222027
233,Goscinnyium,sell,1,1746650221.222548
234,CaesarTech,sell,1,1746650221.225066
235,LutetiaTech,sell,1,1746650221.2278779
236,DogmatixCo,sell,1,1746650221.228242
237,DogmatixCo,sell,1,1746650221.228653
238,Goscinnyium,sell,1,1746650221.229179
239,CaesarTech,sell,1,1746650221.232032
240,LutetiaTech,sell,1,1746650221.23573
241,DogmatixCo,sell,1,1746650221.2359848
242,DogmatixCo,sell,1,1746650221.2364259
243,Goscinnyium,sell,1,1746650221.2370949
244,CaesarTech,sell,1,1746650221.240441
